Time
Prefetched Pages,0,4,16,64,256,512,1024,4096
pmfs,2534606,2379754,2348983,2350934,2339665,2339848,2333669,2331735
   
MajorPageFaults
Prefetched Pages,0,4,16,64,256,512,1024,4096
pmfs,1,1,1,1,1,1,1,1
   
MinorPageFaultsnPrefetched Pages,0,4,16,64,256,512,1024,4096
pmfs,554709,349909,313767,302647,299705,299208,298958,298771
